Index	Year	State	County	Cty.num	Corn.Yld.BuAc	Corn.Mg.ha
995	2008	ILLINOIS	SHELBY	67	179	11.235
996	2009	ILLINOIS	SHELBY	67	171	10.733
997	2010	ILLINOIS	SHELBY	67	162.9	10.224
998	2011	ILLINOIS	SHELBY	67	146.3	9.183
999	2012	ILLINOIS	SHELBY	67	72.4	4.544
1000	2013	ILLINOIS	SHELBY	67	178.2	11.185
1001	2014	ILLINOIS	SHELBY	67	206.4	12.955
1002	2000	ILLINOIS	ST.CLAIR	68	144	9.038
1003	2001	ILLINOIS	ST.CLAIR	68	146	9.164
1004	2002	ILLINOIS	ST.CLAIR	68	97	6.088
1005	2003	ILLINOIS	ST.CLAIR	68	133	8.348
1006	2004	ILLINOIS	ST.CLAIR	68	167	10.482
1007	2005	ILLINOIS	ST.CLAIR	68	147	9.226
1008	2006	ILLINOIS	ST.CLAIR	68	126	7.908
1009	2007	ILLINOIS	ST.CLAIR	68	123	7.72
1010	2008	ILLINOIS	ST.CLAIR	68	155	9.729
1011	2009	ILLINOIS	ST.CLAIR	68	158	9.917
1012	2010	ILLINOIS	ST.CLAIR	68	155	9.729
1013	2011	ILLINOIS	ST.CLAIR	68	128.8	8.084
1014	2012	ILLINOIS	ST.CLAIR	68	58.6	3.678
1015	2013	ILLINOIS	ST.CLAIR	68	158.5	9.948
1016	2014	ILLINOIS	ST.CLAIR	68	173	10.858
1017	2000	ILLINOIS	STARK	69	154	9.666
1018	2001	ILLINOIS	STARK	69	164	10.293
1019	2002	ILLINOIS	STARK	69	167	10.482
1020	2003	ILLINOIS	STARK	69	175	10.984
1021	2004	ILLINOIS	STARK	69	189	11.863
1022	2005	ILLINOIS	STARK	69	123	7.72
1023	2006	ILLINOIS	STARK	69	179	11.235
1024	2007	ILLINOIS	STARK	69	194	12.176
1025	2008	ILLINOIS	STARK	69	203	12.741
1026	2009	ILLINOIS	STARK	69	172	10.796
1027	2010	ILLINOIS	STARK	69	165.9	10.413
1028	2011	ILLINOIS	STARK	69	181.2	11.373
1029	2012	ILLINOIS	STARK	69	148.4	9.314
1030	2013	ILLINOIS	STARK	69	192.4	12.076
1031	2014	ILLINOIS	STARK	69	207.1	12.999
1032	2000	ILLINOIS	STEPHENSON	70	145	9.101
1033	2001	ILLINOIS	STEPHENSON	70	141	8.85
1034	2002	ILLINOIS	STEPHENSON	70	145	9.101
1035	2003	ILLINOIS	STEPHENSON	70	159	9.98
1036	2004	ILLINOIS	STEPHENSON	70	184	11.549
1037	2005	ILLINOIS	STEPHENSON	70	146	9.164
1038	2006	ILLINOIS	STEPHENSON	70	175	10.984
1039	2007	ILLINOIS	STEPHENSON	70	182	11.423
1040	2008	ILLINOIS	STEPHENSON	70	175	10.984
1041	2009	ILLINOIS	STEPHENSON	70	175	10.984
1042	2010	ILLINOIS	STEPHENSON	70	180.8	11.348
1043	2011	ILLINOIS	STEPHENSON	70	181.6	11.398
1044	2012	ILLINOIS	STEPHENSON	70	102.8	6.452
1045	2013	ILLINOIS	STEPHENSON	70	182	11.423
1046	2014	ILLINOIS	STEPHENSON	70	192.6	12.089
1047	2000	ILLINOIS	TAZEWELL	71	165	10.356
1048	2001	ILLINOIS	TAZEWELL	71	154	9.666
1049	2002	ILLINOIS	TAZEWELL	71	150	9.415
1050	2003	ILLINOIS	TAZEWELL	71	188	11.8
1051	2004	ILLINOIS	TAZEWELL	71	187	11.737
1052	2005	ILLINOIS	TAZEWELL	71	142	8.913
1053	2006	ILLINOIS	TAZEWELL	71	176	11.047
1054	2007	ILLINOIS	TAZEWELL	71	191	11.988
1055	2008	ILLINOIS	TAZEWELL	71	200	12.553
1056	2009	ILLINOIS	TAZEWELL	71	182	11.423
1057	2010	ILLINOIS	TAZEWELL	71	163.4	10.256
1058	2011	ILLINOIS	TAZEWELL	71	172.7	10.84
1059	2012	ILLINOIS	TAZEWELL	71	133.4	8.373
1060	2013	ILLINOIS	TAZEWELL	71	177.1	11.116
1061	2014	ILLINOIS	TAZEWELL	71	224.4	14.084
1062	2000	ILLINOIS	UNION	72	127	7.971
1063	2001	ILLINOIS	UNION	72	141	8.85
1064	2002	ILLINOIS	UNION	72	82	5.147
1065	2003	ILLINOIS	UNION	72	129	8.097
1066	2004	ILLINOIS	UNION	72	149	9.352
1067	2005	ILLINOIS	UNION	72	150	9.415
1068	2006	ILLINOIS	UNION	72	147	9.226
1069	2007	ILLINOIS	UNION	72	144	9.038
1070	2008	ILLINOIS	UNION	72	154	9.666
1071	2009	ILLINOIS	UNION	72	148	9.289
1072	2010	ILLINOIS	UNION	72	114.3	7.174
1073	2011	ILLINOIS	UNION	72	111.2	6.979
1074	2012	ILLINOIS	UNION	72	53.3	3.345
1075	2013	ILLINOIS	UNION	72	162.3	10.187
1076	2014	ILLINOIS	UNION	72	185.9	11.668
1077	2000	ILLINOIS	VERMILION	73	136	8.536
1078	2001	ILLINOIS	VERMILION	73	156	9.791
1079	2002	ILLINOIS	VERMILION	73	149	9.352
1080	2003	ILLINOIS	VERMILION	73	165	10.356
1081	2004	ILLINOIS	VERMILION	73	167	10.482
1082	2005	ILLINOIS	VERMILION	73	165	10.356
1083	2006	ILLINOIS	VERMILION	73	173	10.858
1084	2007	ILLINOIS	VERMILION	73	180	11.298
1085	2008	ILLINOIS	VERMILION	73	172	10.796
1086	2009	ILLINOIS	VERMILION	73	183	11.486
1087	2010	ILLINOIS	VERMILION	73	166.3	10.438
1088	2011	ILLINOIS	VERMILION	73	148.1	9.295
1089	2012	ILLINOIS	VERMILION	73	100.1	6.283
1090	2013	ILLINOIS	VERMILION	73	176.9	11.103
1091	2014	ILLINOIS	VERMILION	73	204	12.804
1092	2000	ILLINOIS	WABASH	74	141	8.85
1093	2001	ILLINOIS	WABASH	74	151	9.478
1094	2002	ILLINOIS	WABASH	74	92	5.774
1095	2003	ILLINOIS	WABASH	74	118	7.406
1096	2004	ILLINOIS	WABASH	74	163	10.231
1097	2005	ILLINOIS	WABASH	74	137	8.599
1098	2006	ILLINOIS	WABASH	74	140	8.787
1099	2007	ILLINOIS	WABASH	74	130	8.159
1100	2008	ILLINOIS	WABASH	74	147	9.226
1101	2009	ILLINOIS	WABASH	74	165	10.356
1102	2010	ILLINOIS	WABASH	74	146.6	9.201
1103	2011	ILLINOIS	WABASH	74	140.6	8.825
1104	2012	ILLINOIS	WABASH	74	52.1	3.27
1105	2013	ILLINOIS	WABASH	74	161.5	10.137
1106	2014	ILLINOIS	WABASH	74	180	11.298
1107	2000	ILLINOIS	WARREN	75	152	9.54
1108	2001	ILLINOIS	WARREN	75	169	10.607
1109	2002	ILLINOIS	WARREN	75	174	10.921
1110	2003	ILLINOIS	WARREN	75	183	11.486
1111	2004	ILLINOIS	WARREN	75	193	12.114
1112	2005	ILLINOIS	WARREN	75	158	9.917
1113	2006	ILLINOIS	WARREN	75	173	10.858
1114	2007	ILLINOIS	WARREN	75	198	12.427
1115	2008	ILLINOIS	WARREN	75	207	12.992
1116	2009	ILLINOIS	WARREN	75	193	12.114
1117	2010	ILLINOIS	WARREN	75	152.9	9.597
1118	2011	ILLINOIS	WARREN	75	177.4	11.135
1119	2012	ILLINOIS	WARREN	75	164.9	10.35
1120	2013	ILLINOIS	WARREN	75	186.9	11.731
1121	2014	ILLINOIS	WARREN	75	216.1	13.564
1122	2000	ILLINOIS	WASHINGTON	76	134	8.411
1123	2001	ILLINOIS	WASHINGTON	76	137	8.599
1124	2002	ILLINOIS	WASHINGTON	76	71	4.456
1125	2003	ILLINOIS	WASHINGTON	76	116	7.281
1126	2004	ILLINOIS	WASHINGTON	76	155	9.729
1127	2005	ILLINOIS	WASHINGTON	76	128	8.034
1128	2006	ILLINOIS	WASHINGTON	76	117	7.344
1129	2007	ILLINOIS	WASHINGTON	76	105	6.59
1130	2008	ILLINOIS	WASHINGTON	76	165	10.356
1131	2009	ILLINOIS	WASHINGTON	76	161	10.105
1132	2010	ILLINOIS	WASHINGTON	76	144.3	9.057
1133	2011	ILLINOIS	WASHINGTON	76	120.2	7.544
1134	2012	ILLINOIS	WASHINGTON	76	21.1	1.324
1135	2013	ILLINOIS	WASHINGTON	76	160.6	10.08
1136	2014	ILLINOIS	WASHINGTON	76	184.3	11.568
1137	2000	ILLINOIS	WAYNE	77	134	8.411
1138	2001	ILLINOIS	WAYNE	77	133	8.348
1139	2002	ILLINOIS	WAYNE	77	77	4.833
1140	2003	ILLINOIS	WAYNE	77	114	7.155
1141	2004	ILLINOIS	WAYNE	77	164	10.293
1142	2005	ILLINOIS	WAYNE	77	124	7.783
1143	2006	ILLINOIS	WAYNE	77	130	8.159
1144	2007	ILLINOIS	WAYNE	77	122	7.657
1145	2008	ILLINOIS	WAYNE	77	149	9.352
1146	2009	ILLINOIS	WAYNE	77	153	9.603
1147	2010	ILLINOIS	WAYNE	77	138.8	8.712
1148	2011	ILLINOIS	WAYNE	77	122.4	7.682
1149	2012	ILLINOIS	WAYNE	77	39.7	2.492
1150	2013	ILLINOIS	WAYNE	77	154	9.666
1151	2014	ILLINOIS	WAYNE	77	184.8	11.599
1152	2000	ILLINOIS	WHITE	78	141	8.85
1153	2001	ILLINOIS	WHITE	78	152	9.54
1154	2002	ILLINOIS	WHITE	78	77	4.833
1155	2003	ILLINOIS	WHITE	78	120	7.532
1156	2004	ILLINOIS	WHITE	78	161	10.105
1157	2005	ILLINOIS	WHITE	78	130	8.159
1158	2006	ILLINOIS	WHITE	78	150	9.415
1159	2007	ILLINOIS	WHITE	78	135	8.473
1160	2008	ILLINOIS	WHITE	78	160	10.042
1161	2009	ILLINOIS	WHITE	78	158	9.917
1162	2010	ILLINOIS	WHITE	78	155.4	9.754
1163	2011	ILLINOIS	WHITE	78	144.1	9.044
1164	2012	ILLINOIS	WHITE	78	69.2	4.343
1165	2013	ILLINOIS	WHITE	78	187.1	11.743
1166	2014	ILLINOIS	WHITE	78	196.4	12.327
1167	2000	ILLINOIS	WHITESIDE	79	139	8.724
1168	2001	ILLINOIS	WHITESIDE	79	145	9.101
1169	2002	ILLINOIS	WHITESIDE	79	154	9.666
1170	2003	ILLINOIS	WHITESIDE	79	176	11.047
1171	2004	ILLINOIS	WHITESIDE	79	183	11.486
1172	2005	ILLINOIS	WHITESIDE	79	126	7.908
1173	2006	ILLINOIS	WHITESIDE	79	174	10.921
1174	2007	ILLINOIS	WHITESIDE	79	173	10.858
1175	2008	ILLINOIS	WHITESIDE	79	181	11.36
1176	2009	ILLINOIS	WHITESIDE	79	179	11.235
1177	2010	ILLINOIS	WHITESIDE	79	164.4	10.319
1178	2011	ILLINOIS	WHITESIDE	79	162.6	10.206
1179	2012	ILLINOIS	WHITESIDE	79	139.8	8.775
1180	2013	ILLINOIS	WHITESIDE	79	179.8	11.285
1181	2014	ILLINOIS	WHITESIDE	79	184.6	11.586
1182	2000	ILLINOIS	WILL	80	140	8.787
1183	2001	ILLINOIS	WILL	80	127	7.971
1184	2002	ILLINOIS	WILL	80	115	7.218
1185	2003	ILLINOIS	WILL	80	160	10.042
1186	2004	ILLINOIS	WILL	80	164	10.293
1187	2005	ILLINOIS	WILL	80	122	7.657
1188	2006	ILLINOIS	WILL	80	163	10.231
1189	2007	ILLINOIS	WILL	80	173	10.858
1190	2008	ILLINOIS	WILL	80	177	11.109
1191	2009	ILLINOIS	WILL	80	158	9.917
1192	2010	ILLINOIS	WILL	80	158.3	9.936
1193	2011	ILLINOIS	WILL	80	162.5	10.199
1194	2012	ILLINOIS	WILL	80	126	7.908
1195	2013	ILLINOIS	WILL	80	149.1	9.358
1196	2014	ILLINOIS	WILL	80	178.6	11.21
1197	2000	ILLINOIS	WILLIAMSON	81	114	7.155
1198	2001	ILLINOIS	WILLIAMSON	81	124	7.783
1199	2002	ILLINOIS	WILLIAMSON	81	46	2.887
1200	2003	ILLINOIS	WILLIAMSON	81	92	5.774
1201	2004	ILLINOIS	WILLIAMSON	81	132	8.285
1202	2005	ILLINOIS	WILLIAMSON	81	139	8.724
1203	2006	ILLINOIS	WILLIAMSON	81	140	8.787
1204	2007	ILLINOIS	WILLIAMSON	81	130	8.159
1205	2008	ILLINOIS	WILLIAMSON	81	140	8.787
1206	2009	ILLINOIS	WILLIAMSON	81	151	9.478
1207	2010	ILLINOIS	WILLIAMSON	81	124.6	7.821
1208	2011	ILLINOIS	WILLIAMSON	81	125	7.846
1209	2012	ILLINOIS	WILLIAMSON	81	33.7	2.115
1210	2013	ILLINOIS	WILLIAMSON	81	173.5	10.89
1211	2014	ILLINOIS	WILLIAMSON	81	161.6	10.143
1212	2000	ILLINOIS	WINNEBAGO	82	130	8.159
1213	2001	ILLINOIS	WINNEBAGO	82	119	7.469
1214	2002	ILLINOIS	WINNEBAGO	82	123	7.72
1215	2003	ILLINOIS	WINNEBAGO	82	144	9.038
1216	2004	ILLINOIS	WINNEBAGO	82	172	10.796
1217	2005	ILLINOIS	WINNEBAGO	82	130	8.159
1218	2006	ILLINOIS	WINNEBAGO	82	158	9.917
1219	2007	ILLINOIS	WINNEBAGO	82	177	11.109
1220	2008	ILLINOIS	WINNEBAGO	82	168	10.545
1221	2009	ILLINOIS	WINNEBAGO	82	166	10.419
1222	2010	ILLINOIS	WINNEBAGO	82	172.5	10.827
1223	2011	ILLINOIS	WINNEBAGO	82	162.2	10.18
1224	2012	ILLINOIS	WINNEBAGO	82	99.6	6.251
1225	2013	ILLINOIS	WINNEBAGO	82	173.2	10.871
1226	2014	ILLINOIS	WINNEBAGO	82	190.4	11.95
1227	2000	ILLINOIS	WOODFORD	83	158	9.917
1228	2001	ILLINOIS	WOODFORD	83	168	10.545
1229	2002	ILLINOIS	WOODFORD	83	158	9.917
1230	2003	ILLINOIS	WOODFORD	83	187	11.737
1231	2004	ILLINOIS	WOODFORD	83	182	11.423
1232	2005	ILLINOIS	WOODFORD	83	144	9.038
1233	2006	ILLINOIS	WOODFORD	83	177	11.109
1234	2007	ILLINOIS	WOODFORD	83	204	12.804
1235	2008	ILLINOIS	WOODFORD	83	206	12.93
1236	2009	ILLINOIS	WOODFORD	83	187	11.737
1237	2010	ILLINOIS	WOODFORD	83	171.5	10.764
1238	2011	ILLINOIS	WOODFORD	83	186.5	11.706
1239	2012	ILLINOIS	WOODFORD	83	102.5	6.433
1240	2013	ILLINOIS	WOODFORD	83	192.3	12.07
1241	2014	ILLINOIS	WOODFORD	83	217.5	13.651
